company_name,company_website,job_ location,company_tagline,company_twitter,company_logo,job_expires,job_description ,job_type,application,comapmy_logo
Dabhand,Dabhand.ie,Dublin,,,,17/04/2014,Dabhand.ie are an interesting start up targeting gardeners / builders / tradesmen etc to register their info online with a view to having their listings viewed by homeowners in the local area.,Internship,Philip@dabhand.ie,
Digital perception,Digital perception,Dublin,Digital perception is a fast pace early tech startup out of the NDRC.Our revolutionary image recognition technology allows companies and individuals to track where images of them appear on the Internet and social media.,,,04/07/2014,"We’re looking to grow our team by finding great software developers.We want people who are passionate about building great game changing technology and want to get in on the ground floor of an innovative company where their opinions REALLY will matter.Main Responsibilities:
• Create web and mobile applications from the requirements stage through design and deployment.
• Create beautiful,simple interfaces that people love to use.
• Working as part of a team to define, design,and deliver creative solutions.
• Using agile developmental techniques.
• Assist in the development and Maintenance of web pages.
• Understanding of current UI/UX standards,process and design artifacts for the web and mobile.
• Experience with HTML5, CSS3,JavaScript,JQuery.
• Coding ability in Python.",Internship,jobs@digitalperception.com,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
